# Witherden, F. D.; Vincent, P. E. On the identification of symmetric quadrature rules for finite element methods. Comput. Math. Appl. 69 (2015), no. 10, 1232-1241
2 7
9.62910049886275730783283388291999761e-01 5.00000000000000000000000000000000000e-01 6.04938271604938271604938271604938272e-02
5.00000000000000000000000000000000000e-01 9.62910049886275730783283388291999761e-01 6.04938271604938271604938271604938272e-02
3.70899501137242692167166117080002387e-02 5.00000000000000000000000000000000000e-01 6.04938271604938271604938271604938272e-02
5.00000000000000000000000000000000000e-01 3.70899501137242692167166117080002387e-02 6.04938271604938271604938271604938272e-02
9.02989891459299371853928090675372123e-01 9.02989891459299371853928090675372123e-01 5.93579436726575585545263148278233813e-02
9.02989891459299371853928090675372123e-01 9.70101085407006281460719093246278768e-02 5.93579436726575585545263148278233813e-02
9.70101085407006281460719093246278768e-02 9.02989891459299371853928090675372123e-01 5.93579436726575585545263148278233813e-02
9.70101085407006281460719093246278768e-02 9.70101085407006281460719093246278768e-02 5.93579436726575585545263148278233813e-02
6.90277216604157828189553179543197068e-01 6.90277216604157828189553179543197068e-01 1.30148229166848614284979858011682792e-01
6.90277216604157828189553179543197068e-01 3.09722783395842171810446820456802932e-01 1.30148229166848614284979858011682792e-01
3.09722783395842171810446820456802932e-01 6.90277216604157828189553179543197068e-01 1.30148229166848614284979858011682792e-01
3.09722783395842171810446820456802932e-01 3.09722783395842171810446820456802932e-01 1.30148229166848614284979858011682792e-01
